date,channel,campaign,spend,impressions,clicks,leads,opportunities,wins,revenue
2026-01-01,Email,Retargeting,1130.88,44560,1098,112,37,8,3396.43
2026-01-03,Paid Search,Retargeting,2900.42,77473,635,48,19,7,2178.05
2026-01-05,Affiliate,Loyalty,1962.97,36243,1614,73,29,13,6144.17
2026-01-05,Affiliate,Summer Sale,2059.32,5434,172,6,2,1,261.95
2026-01-06,Affiliate,Brand,2793.83,48313,2417,106,31,14,4322.2
2026-01-06,Paid Search,Brand,2355.06,44811,606,50,10,4,1261.58
2026-01-06,Paid Search,Summer Sale,3584.05,81370,3883,142,23,6,1363.69
2026-01-06,Paid Social,Brand,1815.76,105098,5735,579,188,37,10264.27
2026-01-06,Paid Social,Loyalty,1574.66,95448,3459,117,36,19,6056.9
2026-01-08,Email,Retargeting,3608.39,8311,351,47,10,4,1594.02
2026-01-09,Email,Brand,1836.57,89117,3392,566,169,64,22943.41
2026-01-09,Organic,Brand,3252.68,13126,280,39,16,5,1736.56
2026-01-11,Affiliate,Brand,2738.01,47493,670,80,25,10,3456.68
2026-01-11,Paid Social,Brand,2848.63,101571,1059,167,63,16,4469.42
2026-01-12,Organic,Retargeting,3492.21,53715,2197,325,63,25,8650.97
2026-01-14,Paid Social,Brand,468.75,102109,5488,519,86,37,9179.16
2026-01-15,Paid Social,Summer Sale,1252.28,106221,1389,135,21,10,1989.48
2026-01-17,Affiliate,Brand,2552.24,70066,3039,286,69,27,8280.59
2026-01-17,Affiliate,New Product,3704.19,97586,5648,387,123,52,16289.77
2026-01-17,Organic,Brand,3224.21,92035,3369,424,75,19,6240.1
2026-01-17,Paid Search,New Product,2299.86,47697,780,73,13,2,530.02
2026-01-18,Paid Social,New Product,2764.66,81653,1593,121,49,18,4012.56
2026-01-21,Organic,Brand,3241.27,22600,1195,134,48,22,7702.74
2026-01-21,Organic,Retargeting,1387.48,83658,1391,221,65,14,5285.26
2026-01-22,Organic,Brand,1300.44,15022,760,133,37,10,3378.17
2026-01-23,Affiliate,New Product,3092.86,27979,523,63,22,10,2760.45
2026-01-23,Email,New Product,579.53,17826,876,111,26,8,2558.85
2026-01-23,Organic,New Product,465.45,16889,619,24,7,3,763.36
2026-01-24,Affiliate,Retargeting,847.41,5170,182,13,4,0,0.0
2026-01-24,Email,New Product,2848.76,13519,150,20,6,3,1001.37
2026-01-24,Email,Summer Sale,1599.56,111084,4178,681,255,87,25187.45
2026-01-25,Organic,Retargeting,1779.42,26259,288,40,9,4,1530.9
2026-01-25,Organic,Summer Sale,3875.19,82667,2153,333,75,39,9033.95
2026-01-27,Email,Summer Sale,2647.28,21156,538,76,27,13,3495.04
2026-01-28,Email,New Product,3632.04,19964,318,34,11,5,1600.2
2026-01-29,Email,Summer Sale,2091.97,119838,3988,134,20,7,1812.01
2026-01-29,Paid Social,Retargeting,391.44,31446,1775,220,68,18,4783.63
2026-01-31,Affiliate,Retargeting,2328.98,94391,1642,192,65,21,7680.0
2026-01-31,Email,Summer Sale,3302.83,118439,6567,964,395,158,41226.21
2026-01-31,Paid Social,New Product,3652.43,16495,664,106,33,17,4035.76
2026-02-01,Organic,Brand,1488.78,77491,2303,385,129,27,8531.4
2026-02-01,Organic,New Product,2426.43,104812,2362,114,30,7,2090.41
2026-02-02,Email,Loyalty,2617.91,96564,4608,206,49,25,12558.64
2026-02-02,Email,New Product,1588.26,110156,3412,363,58,24,7437.99
2026-02-02,Organic,Retargeting,3177.66,35206,771,66,14,4,1493.03
2026-02-02,Paid Search,Summer Sale,2445.09,65994,3295,171,68,36,8249.97
2026-02-03,Email,Loyalty,3618.55,82013,4878,537,145,54,25495.04
2026-02-03,Paid Search,Retargeting,3611.28,91831,3520,583,161,83,25038.17
2026-02-05,Email,Loyalty,418.71,36051,376,13,4,2,1001.26
