date,channel,campaign,spend,impressions,clicks,leads,opportunities,wins,revenue
2026-03-24,Paid Social,New Product,2673.55,14494,734,32,10,5,12226.25
2026-01-23,Organic,New Product,465.45,16889,619,24,7,3,14572.89
2026-05-30,Paid Search,Loyalty,2425.06,11499,675,24,9,2,4073.36
2026-01-31,Affiliate,Retargeting,2328.98,94391,1642,192,65,21,91915.28
2026-01-17,Affiliate,Brand,2552.24,70066,3039,286,69,27,103368.67
2026-03-18,Paid Social,Summer Sale,2856.18,36994,453,33,9,2,7606.48
2026-06-05,Paid Search,Brand,2145.34,26621,1261,66,19,4,20302.61
2026-07-15,Affiliate,Loyalty,3198.56,112263,2729,366,120,48,184607.56
2026-01-24,Email,New Product,2848.76,13519,150,20,6,3,17901.49
2026-03-14,Organic,Retargeting,285.74,65515,1735,211,62,17,48740.79
2026-07-09,Paid Social,New Product,1685.61,119219,4031,221,59,17,33900.92
2026-04-21,Affiliate,Retargeting,2884.31,52024,2263,197,43,9,18697.78
2026-06-18,Paid Social,Brand,2042.86,82217,1437,103,19,7,33158.38
2026-03-23,Paid Social,Loyalty,3810.85,90847,3921,149,62,29,181893.12
2026-07-24,Affiliate,New Product,1712.66,56658,758,94,15,3,7232.48
2026-02-11,Paid Search,Retargeting,2482.76,18419,147,7,1,0,0.0
2026-02-23,Affiliate,New Product,764.49,38063,2195,264,77,18,72554.31
2026-04-30,Organic,New Product,1385.04,23889,318,25,5,2,4272.69
2026-01-06,Paid Social,Loyalty,1574.66,95448,3459,117,36,19,117938.42
2026-06-28,Email,Loyalty,1593.46,26894,712,45,14,5,24456.82
2026-06-06,Paid Social,Summer Sale,3309.67,101976,5075,304,90,41,284527.73
2026-07-22,Email,New Product,1184.86,95770,3779,308,120,54,174269.56
2026-04-04,Paid Search,Summer Sale,588.2,66614,1214,73,24,12,72894.31
2026-05-03,Email,Brand,3371.67,20716,1145,168,63,23,51414.8
2026-07-22,Email,Brand,3243.13,99611,2847,256,111,50,109301.06
2026-02-02,Paid Search,Summer Sale,2445.09,65994,3295,171,68,36,180437.62
2026-03-31,Paid Social,Loyalty,2283.49,7804,68,11,3,1,6615.02
2026-04-22,Paid Social,Summer Sale,306.38,32889,764,50,16,4,14521.09
2026-02-03,Paid Search,Retargeting,3611.28,91831,3520,583,161,83,341093.8
2026-05-17,Paid Social,Loyalty,2140.08,119400,3687,211,31,14,30794.55
2026-05-02,Affiliate,Brand,2314.61,47727,2075,227,66,31,196004.36
2026-01-15,Paid Social,Summer Sale,1252.28,106221,1389,135,21,10,15675.39
2026-03-25,Affiliate,Loyalty,2503.32,31136,1370,134,41,15,99910.6
2026-06-28,Affiliate,Retargeting,3706.58,31553,1630,82,15,5,8103.84
2026-03-03,Organic,Brand,1008.22,44685,2179,358,70,31,155914.12
2026-02-06,Email,Summer Sale,3876.67,33781,1581,69,28,7,35514.02
2026-02-27,Paid Social,New Product,3977.48,57928,1484,88,21,9,11817.01
2026-05-22,Organic,New Product,2871.98,55376,1397,172,52,11,76048.31
2026-07-21,Paid Social,Brand,519.43,40641,408,59,13,3,10947.22
2026-06-23,Email,New Product,767.6,72473,2730,368,65,14,72682.29
2026-04-19,Paid Search,Retargeting,3765.73,88157,1111,76,25,6,16402.89
2026-02-01,Organic,Brand,1488.78,77491,2303,385,129,27,143513.45
2026-01-29,Paid Social,Retargeting,391.44,31446,1775,220,68,18,68129.71
2026-06-22,Paid Social,Retargeting,1518.6,7380,440,15,2,0,0.0
2026-05-12,Organic,Summer Sale,3751.64,18930,799,101,35,13,82609.94
2026-05-10,Email,Summer Sale,3933.27,49918,914,148,54,13,90203.63
2026-01-14,Paid Social,Brand,468.75,102109,5488,519,86,37,126137.23
2026-05-10,Email,Loyalty,1120.41,43411,449,25,5,1,3312.02
2026-03-26,Affiliate,Retargeting,1128.9,45573,880,50,12,2,5635.57
2026-06-17,Paid Social,Summer Sale,2118.0,5648,71,10,1,0,0.0
2026-03-18,Email,Summer Sale,521.03,74361,3894,207,86,40,186401.76
2026-07-15,Email,New Product,767.96,99916,4013,207,82,36,150310.48
2026-04-20,Affiliate,Summer Sale,3657.57,103679,3548,550,215,105,481693.46
2026-07-02,Paid Social,Brand,318.41,22444,923,160,42,15,22417.89
2026-01-05,Affiliate,Summer Sale,2059.32,5434,172,6,2,1,1733.26
2026-05-15,Paid Search,New Product,1158.34,14758,767,50,18,5,24848.04
2026-04-28,Organic,New Product,491.61,94613,2170,80,27,7,32748.03
2026-03-26,Email,Retargeting,2560.37,22490,194,7,1,0,0.0
2026-06-22,Organic,Retargeting,2893.71,42426,1364,136,25,12,28267.8
2026-01-22,Organic,Brand,1300.44,15022,760,133,37,10,24170.56
2026-02-23,Paid Search,Loyalty,543.15,102974,3629,627,118,57,236590.88
2026-01-29,Email,Summer Sale,2091.97,119838,3988,134,20,7,26700.87
2026-03-19,Paid Social,New Product,1507.05,46428,663,52,12,3,10529.72
2026-02-20,Paid Search,Retargeting,1162.21,13516,384,69,22,7,25778.94
2026-03-12,Paid Search,Retargeting,586.5,114402,4853,607,118,63,235002.37
2026-03-22,Paid Social,Retargeting,3183.54,61065,3296,500,169,87,579076.87
2026-05-21,Paid Social,Brand,388.01,100990,2965,362,69,34,136555.41
2026-05-21,Paid Social,Summer Sale,1994.3,50044,1133,77,28,11,39116.15
2026-03-03,Email,New Product,2317.82,56690,806,101,17,6,35451.56
2026-05-21,Paid Social,New Product,3643.79,104516,3281,167,34,7,22283.38
2026-01-24,Email,Summer Sale,1599.56,111084,4178,681,255,87,313245.65
2026-05-15,Paid Social,New Product,1226.91,103580,1162,83,36,8,32957.56
2026-06-11,Paid Social,Brand,1229.88,37565,1051,133,37,11,65154.83
2026-01-06,Paid Social,Brand,1815.76,105098,5735,579,188,37,128420.43
2026-05-16,Organic,New Product,1144.17,19292,378,19,8,1,5987.29
2026-06-29,Organic,Brand,2295.7,10183,82,4,1,0,0.0
2026-02-02,Email,Loyalty,2617.91,96564,4608,206,49,25,57796.76
2026-03-08,Paid Social,Loyalty,204.38,75448,1786,176,77,32,202428.46
2026-05-02,Affiliate,Summer Sale,2278.61,8837,512,69,16,3,12270.6
2026-06-22,Organic,Brand,1177.57,92471,2780,237,70,31,166356.14
2026-04-03,Organic,Summer Sale,225.66,43287,2010,212,44,23,69182.88
2026-07-29,Paid Social,Summer Sale,1967.43,39736,1889,140,60,22,50301.17
2026-02-27,Organic,New Product,3659.5,12394,710,36,9,2,13699.79
2026-02-06,Organic,Brand,2897.46,29130,828,136,56,25,174641.82
2026-02-12,Email,Summer Sale,904.95,73786,3453,120,41,13,43790.82
2026-03-26,Organic,Summer Sale,614.04,15255,343,28,12,2,13585.55
2026-02-23,Organic,Retargeting,3121.18,45461,2306,218,35,12,40340.92
2026-04-25,Paid Social,Retargeting,1584.15,67198,643,58,22,10,14357.67
2026-01-09,Organic,Brand,3252.68,13126,280,39,16,5,13897.13
